dim,chunk_size_bytes,n_jobs,latency_ns_median
128,4096,1,1513
128,4096,2,2565
128,4096,4,5184
128,4096,8,10225
128,4096,16,20080
128,4096,32,39127
128,8192,1,1884
128,8192,2,3828
128,8192,4,6896
128,8192,8,14543
128,8192,16,31912
128,8192,32,59157
128,16384,1,3074
128,16384,2,5376
128,16384,4,10654
128,16384,8,21532
128,16384,16,42119
128,16384,32,85328
128,32768,1,3547
128,32768,2,7233
128,32768,4,14071
128,32768,8,28818
128,32768,16,55320
128,32768,32,111161
128,65536,1,6294
128,65536,2,12626
128,65536,4,25583
128,65536,8,48758
128,65536,16,98421
128,65536,32,192740
128,131072,1,11919
128,131072,2,24664
128,131072,4,46416
128,131072,8,93329
128,131072,16,185711
128,131072,32,368952
128,262144,1,35606
128,262144,2,47667
128,262144,4,92569
128,262144,8,189757
128,262144,16,362372
128,262144,32,717371
128,524288,1,54712
128,524288,2,139412
128,524288,4,181042
128,524288,8,352322
128,524288,16,738748
128,524288,32,1412700
512,4096,1,7263
512,4096,2,13466
512,4096,4,26728
512,4096,8,50661
512,4096,16,86950
512,4096,32,153703
512,8192,1,14940
512,8192,2,29411
512,8192,4,58106
512,8192,8,113852
512,8192,16,192828
512,8192,32,348256
512,16384,1,30897
512,16384,2,61029
512,16384,4,121760
512,16384,8,238996
512,16384,16,407302
512,16384,32,744386
512,32768,1,62947
512,32768,2,125007
512,32768,4,250169
512,32768,8,497229
512,32768,16,844296
512,32768,32,1544604
512,65536,1,127162
512,65536,2,253714
512,65536,4,506968
512,65536,8,1007269
512,65536,16,1706546
512,65536,32,3173573
2048,4096,1,577
2048,4096,2,961
2048,4096,4,1714
2048,4096,8,3202
2048,4096,16,5681
2048,4096,32,10173
2048,8192,1,882
2048,8192,2,1540
2048,8192,4,2935
2048,8192,8,5758
2048,8192,16,10280
2048,8192,32,18419
2048,16384,1,1581
2048,16384,2,3073
2048,16384,4,6042
2048,16384,8,11663
2048,16384,16,21168
2048,16384,32,38262
2048,32768,1,3679
2048,32768,2,7092
2048,32768,4,14045
2048,32768,8,27034
2048,32768,16,48632
2048,32768,32,87802
2048,65536,1,8257
2048,65536,2,16678
2048,65536,4,33695
2048,65536,8,64687
2048,65536,16,115250
2048,65536,32,212740
