dim,engine_count,chunk_size_bytes,n_nodes,iaa_submit_ns_median,iaa_wait_ns_median,iaa_check_ns_median,lz4_decompress_ns_median
128,1,1024,1,769,1488,1284,521
128,1,1024,2,1396,2183,2164,908
128,1,1024,4,2657,2988,2955,1711
128,1,1024,8,5118,4647,4630,3251
128,1,1024,16,10607,7764,7686,6514
128,1,1024,32,21374,13143,13004,12717
128,1,1024,64,44286,23350,23128,24909
128,1,65536,1,780,17693,17591,8319
128,1,65536,2,1419,34505,34477,14855
128,1,65536,4,2681,67589,67548,28996
128,1,65536,8,5402,133700,133733,55100
128,1,65536,16,10685,265662,265642,106970
128,1,65536,32,21437,529755,529646,211674
128,1,65536,64,43765,1056722,1055952,412576
128,1,1048576,1,885,263480,263443,137295
128,1,1048576,2,1780,526010,525952,243515
128,1,1048576,4,3341,1050565,1050462,478171
128,1,1048576,8,6401,2099578,2099461,959940
128,1,1048576,16,11948,4197401,4197413,1949866
128,1,1048576,32,22452,8393485,8393029,3900469
128,1,1048576,64,44521,16784964,16783835,8008480
512,1,1024,1,778,2013,1779,1064
512,1,1024,2,1399,3179,3124,2391
512,1,1024,4,2659,4860,4841,4494
512,1,1024,8,5113,8304,8270,8351
512,1,1024,16,10609,15044,15020,16303
512,1,1024,32,21094,27999,27876,30132
512,1,1024,64,44193,52610,52399,54555
512,1,65536,1,815,33273,33255,127913
512,1,65536,2,1474,65223,65106,255428
512,1,65536,4,2773,128972,128917,511818
512,1,65536,8,5694,256385,256193,1020998
512,1,65536,16,11056,511352,511357,1968687
512,1,65536,32,21758,1020871,1020952,3847679
512,1,65536,64,43921,2039483,2038639,7212508
512,1,1048576,1,1173,500863,500850,1106674
512,1,1048576,2,2351,1000742,1000730,2212637
512,1,1048576,4,3795,2000045,1999992,4416381
512,1,1048576,8,6461,3998714,3998829,8811520
512,1,1048576,16,12234,7995571,7995202,17539947
512,1,1048576,32,23576,15989197,15989061,34506292
512,1,1048576,64,46517,31976195,31976681,68244917
2048,1,1024,1,768,2306,2094,344
2048,1,1024,2,1401,3803,3796,473
2048,1,1024,4,2638,6136,6089,741
2048,1,1024,8,5097,10806,10782,1308
2048,1,1024,16,10598,19958,19915,2585
2048,1,1024,32,21063,37882,37725,4861
2048,1,1024,64,44245,72307,71914,9007
2048,1,65536,1,808,65986,65992,11705
2048,1,65536,2,1491,130920,130903,20828
2048,1,65536,4,2795,260542,260492,39127
2048,1,65536,8,5581,519725,519660,73654
2048,1,65536,16,10863,1038320,1038131,142329
2048,1,65536,32,21836,2074215,2074170,274596
2048,1,65536,64,44154,4146210,4145458,522957
2048,1,1048576,1,1126,1035658,1035649,217498
2048,1,1048576,2,2322,2070322,2070159,423295
2048,1,1048576,4,3731,4139152,4139113,813583
2048,1,1048576,8,6436,8276648,8276692,1602450
2048,1,1048576,16,12150,16551578,16551169,3294570
2048,1,1048576,32,23633,33101306,33101069,6527739
2048,1,1048576,64,46798,66200669,66201253,13134758
128,2,1024,1,757,1500,1474,513
128,2,1024,2,1386,1496,1280,920
128,2,1024,4,2646,1801,1755,1712
128,2,1024,8,5234,1770,1717,3320
128,2,1024,16,10467,1799,1794,6431
128,2,1024,32,21158,1593,1492,12671
128,2,1024,64,44151,1673,1667,24870
128,2,65536,1,761,17717,17669,8784
128,2,65536,2,1408,17734,17676,15824
128,2,65536,4,2671,33919,33892,29396
128,2,65536,8,5382,65750,65772,54867
128,2,65536,16,10715,129146,129054,109273
128,2,65536,32,21709,256016,255794,210251
128,2,65536,64,43842,508553,507835,413560
128,2,1048576,1,876,263474,263431,137699
128,2,1048576,2,1716,263499,263516,248104
128,2,1048576,4,3379,525407,525347,486448
128,2,1048576,8,6421,1048681,1048681,962069
128,2,1048576,16,11997,2094902,2094918,1940485
128,2,1048576,32,22432,4187793,4187405,3870735
128,2,1048576,64,44764,8372409,8371518,7876733
512,2,1024,1,759,2003,1986,1300
512,2,1024,2,1398,2016,1785,2477
512,2,1024,4,2653,2573,2513,4434
512,2,1024,8,5115,3060,3031,8466
512,2,1024,16,10608,3977,3884,16059
512,2,1024,32,21021,5231,5132,29800
512,2,1024,64,44220,7149,6849,54899
512,2,65536,1,800,33320,33177,128266
512,2,65536,2,1494,32902,32841,255744
512,2,65536,4,2778,64427,64386,511899
512,2,65536,8,5620,126924,126875,1021420
512,2,65536,16,11286,251871,252114,1968888
512,2,65536,32,21758,502107,502017,3842178
512,2,65536,64,44165,1000499,999715,7217314
512,2,1048576,1,1151,500893,500804,1106302
512,2,1048576,2,2407,500884,500924,2214979
512,2,1048576,4,4120,1000080,1000139,4417914
512,2,1048576,8,6622,1998178,1998210,8808047
512,2,1048576,16,12045,3994070,3993694,17551637
512,2,1048576,32,23651,7985185,7985175,34456963
512,2,1048576,64,46538,15967259,15968146,68396832
2048,2,1024,1,759,2311,2307,314
2048,2,1024,2,1399,2295,2082,464
2048,2,1024,4,2641,3210,3163,754
2048,2,1024,8,5080,4317,4297,1296
2048,2,1024,16,10578,6207,6133,2515
2048,2,1024,32,21249,10238,10044,4825
2048,2,1024,64,43819,16620,16232,8984
2048,2,65536,1,796,65988,65975,11883
2048,2,65536,2,1487,66035,66021,20706
2048,2,65536,4,2749,130514,130440,37741
2048,2,65536,8,5710,258804,258816,73368
2048,2,65536,16,10976,515464,515339,141619
2048,2,65536,32,21955,1028349,1028279,273275
2048,2,65536,64,43930,2053606,2053139,520368
2048,2,1048576,1,1113,1035641,1035616,217635
2048,2,1048576,2,2539,1035668,1035653,419669
