suite,scenario,qid,expansion_id,dim,n_tb1_nodes,distance_ns
exact_match,1pct_e1,0,0,128,3,243
exact_match,1pct_e1,0,1,128,6,247
exact_match,1pct_e1,0,2,128,3,164
exact_match,1pct_e1,0,4,128,5,198
exact_match,1pct_e1,0,5,128,2,125
exact_match,1pct_e1,0,7,128,2,239
exact_match,1pct_e1,0,11,128,2,160
exact_match,1pct_e1,0,12,128,2,118
exact_match,1pct_e1,0,13,128,6,291
exact_match,1pct_e1,0,16,128,5,272
exact_match,1pct_e1,0,17,128,3,228
exact_match,1pct_e1,0,18,128,19,642
exact_match,1pct_e1,0,19,128,6,221
exact_match,1pct_e1,0,21,128,9,378
exact_match,1pct_e1,0,23,128,2,224
exact_match,1pct_e1,0,24,128,10,404
exact_match,1pct_e1,0,26,128,6,236
exact_match,1pct_e1,0,32,128,5,192
exact_match,1pct_e1,0,33,128,4,196
exact_match,1pct_e1,0,39,128,3,176
exact_match,1pct_e1,0,46,128,4,234
exact_match,1pct_e1,0,50,128,4,237
exact_match,1pct_e1,1,0,128,8,713
exact_match,1pct_e1,1,1,128,5,449
exact_match,1pct_e1,1,3,128,3,306
exact_match,1pct_e1,1,4,128,6,521
exact_match,1pct_e1,1,5,128,4,503
exact_match,1pct_e1,1,6,128,6,601
exact_match,1pct_e1,1,7,128,14,1134
exact_match,1pct_e1,1,9,128,7,589
exact_match,1pct_e1,1,10,128,3,327
exact_match,1pct_e1,1,12,128,4,398
exact_match,1pct_e1,1,14,128,5,458
exact_match,1pct_e1,1,15,128,4,452
exact_match,1pct_e1,1,20,128,5,471
exact_match,1pct_e1,1,21,128,6,370
exact_match,1pct_e1,1,22,128,7,571
exact_match,1pct_e1,1,32,128,4,517
exact_match,1pct_e1,1,34,128,10,973
exact_match,1pct_e1,1,36,128,5,508
exact_match,1pct_e1,1,40,128,6,707
exact_match,1pct_e1,1,41,128,12,880
exact_match,1pct_e1,1,46,128,13,1045
exact_match,1pct_e1,2,0,128,2,389
exact_match,1pct_e1,2,1,128,7,827
exact_match,1pct_e1,2,2,128,1,117
exact_match,1pct_e1,2,3,128,5,512
exact_match,1pct_e1,2,4,128,2,212
exact_match,1pct_e1,2,5,128,8,846
exact_match,1pct_e1,2,6,128,7,624
exact_match,1pct_e1,2,7,128,5,471
exact_match,1pct_e1,2,10,128,5,507
exact_match,1pct_e1,2,14,128,5,567
exact_match,1pct_e1,2,16,128,3,323
exact_match,1pct_e1,2,18,128,2,464
exact_match,1pct_e1,2,21,128,3,365
exact_match,1pct_e1,2,46,128,4,464
exact_match,1pct_e1,2,73,128,4,393
exact_match,1pct_e1,2,102,128,5,459
exact_match,1pct_e1,3,0,128,6,487
exact_match,1pct_e1,3,1,128,3,340
exact_match,1pct_e1,3,3,128,5,477
exact_match,1pct_e1,3,6,128,5,307
exact_match,1pct_e1,3,7,128,5,245
exact_match,1pct_e1,3,8,128,2,171
exact_match,1pct_e1,3,12,128,3,378
exact_match,1pct_e1,3,14,128,1,166
exact_match,1pct_e1,3,15,128,9,588
exact_match,1pct_e1,3,23,128,4,287
exact_match,1pct_e1,3,26,128,4,408
exact_match,1pct_e1,3,29,128,3,433
exact_match,1pct_e1,3,44,128,3,353
exact_match,1pct_e1,3,45,128,3,275
exact_match,1pct_e1,3,51,128,9,393
exact_match,1pct_e1,3,56,128,6,489
exact_match,1pct_e1,3,119,128,3,185
exact_match,1pct_e1,3,147,128,2,387
exact_match,1pct_e1,4,0,128,4,447
exact_match,1pct_e1,4,1,128,7,532
exact_match,1pct_e1,4,2,128,3,320
exact_match,1pct_e1,4,3,128,6,531
exact_match,1pct_e1,4,4,128,5,442
exact_match,1pct_e1,4,5,128,7,444
exact_match,1pct_e1,4,6,128,3,236
exact_match,1pct_e1,4,8,128,9,743
exact_match,1pct_e1,4,9,128,14,1242
exact_match,1pct_e1,4,13,128,3,302
exact_match,1pct_e1,4,15,128,6,389
exact_match,1pct_e1,4,17,128,5,419
exact_match,1pct_e1,4,18,128,6,525
exact_match,1pct_e1,4,19,128,5,556
exact_match,1pct_e1,4,28,128,11,1008
exact_match,1pct_e1,4,88,128,2,496
exact_match,1pct_e1,4,101,128,7,672
exact_match,1pct_e1,4,110,128,1,216
exact_match,1pct_e1,4,121,128,1,177
exact_match,1pct_e1,4,137,128,3,341
exact_match,1pct_e1,5,0,128,5,518
exact_match,1pct_e1,5,1,128,4,466
exact_match,1pct_e1,5,2,128,6,608
exact_match,1pct_e1,5,3,128,9,981
exact_match,1pct_e1,5,4,128,3,388
exact_match,1pct_e1,5,5,128,3,447
exact_match,1pct_e1,5,6,128,6,681
exact_match,1pct_e1,5,7,128,5,605
exact_match,1pct_e1,5,9,128,19,1624
exact_match,1pct_e1,5,10,128,8,900
exact_match,1pct_e1,5,12,128,7,721
exact_match,1pct_e1,5,13,128,3,397
exact_match,1pct_e1,5,19,128,7,675
exact_match,1pct_e1,5,25,128,4,405
exact_match,1pct_e1,5,26,128,5,499
exact_match,1pct_e1,5,29,128,12,1338
exact_match,1pct_e1,5,46,128,6,568
exact_match,1pct_e1,5,50,128,8,820
exact_match,1pct_e1,6,0,128,4,485
exact_match,1pct_e1,6,1,128,3,380
exact_match,1pct_e1,6,2,128,4,476
exact_match,1pct_e1,6,3,128,6,590
exact_match,1pct_e1,6,4,128,5,483
exact_match,1pct_e1,6,6,128,4,425
exact_match,1pct_e1,6,8,128,4,205
exact_match,1pct_e1,6,9,128,8,513
exact_match,1pct_e1,6,10,128,5,461
exact_match,1pct_e1,6,11,128,8,556
exact_match,1pct_e1,6,12,128,6,509
exact_match,1pct_e1,6,13,128,8,413
exact_match,1pct_e1,6,14,128,5,527
exact_match,1pct_e1,6,15,128,3,284
exact_match,1pct_e1,6,17,128,6,516
exact_match,1pct_e1,6,24,128,6,417
exact_match,1pct_e1,6,25,128,4,240
