suite,scenario,qid,expansion_id,dim,n_tb1_nodes,distance_ns
multiple_exact_match,10pct_e2,0,0,2048,2,1465
multiple_exact_match,10pct_e2,0,1,2048,1,901
multiple_exact_match,10pct_e2,0,4,2048,11,7671
multiple_exact_match,10pct_e2,1,0,2048,2,893
multiple_exact_match,10pct_e2,1,1,2048,6,3240
multiple_exact_match,10pct_e2,1,14,2048,4,2759
multiple_exact_match,10pct_e2,2,0,2048,4,2938
multiple_exact_match,10pct_e2,2,1,2048,17,10578
multiple_exact_match,10pct_e2,2,2,2048,2,1555
multiple_exact_match,10pct_e2,2,19,2048,2,1587
multiple_exact_match,10pct_e2,3,0,2048,5,3783
multiple_exact_match,10pct_e2,3,9,2048,4,2786
multiple_exact_match,10pct_e2,4,0,2048,4,2869
multiple_exact_match,10pct_e2,4,1,2048,7,4512
multiple_exact_match,10pct_e2,4,20,2048,14,9497
multiple_exact_match,10pct_e2,5,0,2048,2,1640
multiple_exact_match,10pct_e2,5,1,2048,16,10956
multiple_exact_match,10pct_e2,5,10,2048,1,970
multiple_exact_match,10pct_e2,6,0,2048,3,2417
multiple_exact_match,10pct_e2,6,1,2048,5,3368
multiple_exact_match,10pct_e2,7,0,2048,4,3054
multiple_exact_match,10pct_e2,7,23,2048,6,2724
multiple_exact_match,10pct_e2,8,0,2048,4,2455
multiple_exact_match,10pct_e2,8,1,2048,2,1689
multiple_exact_match,10pct_e2,8,26,2048,7,4256
multiple_exact_match,10pct_e2,9,0,2048,5,3428
multiple_exact_match,10pct_e2,9,2,2048,8,4750
multiple_exact_match,10pct_e2,10,0,2048,4,2998
multiple_exact_match,10pct_e2,10,1,2048,11,7844
multiple_exact_match,10pct_e2,10,55,2048,1,929
multiple_exact_match,10pct_e2,11,0,2048,8,5264
multiple_exact_match,10pct_e2,11,17,2048,4,2218
multiple_exact_match,10pct_e2,12,0,2048,4,2775
multiple_exact_match,10pct_e2,12,1,2048,3,2373
multiple_exact_match,10pct_e2,13,0,2048,2,1578
multiple_exact_match,10pct_e2,13,2,2048,13,7579
multiple_exact_match,10pct_e2,13,6,2048,11,6577
multiple_exact_match,10pct_e2,14,0,2048,13,7037
multiple_exact_match,10pct_e2,14,1,2048,21,12498
multiple_exact_match,10pct_e2,14,2,2048,15,7416
multiple_exact_match,10pct_e2,14,3,2048,20,10753
multiple_exact_match,10pct_e2,15,0,2048,9,5549
multiple_exact_match,10pct_e2,15,2,2048,17,10433
multiple_exact_match,10pct_e2,16,0,2048,6,4477
multiple_exact_match,10pct_e2,16,10,2048,2,1502
multiple_exact_match,10pct_e2,17,0,2048,5,3661
multiple_exact_match,10pct_e2,17,5,2048,5,3439
multiple_exact_match,10pct_e2,18,0,2048,6,4139
multiple_exact_match,10pct_e2,18,1,2048,10,6288
multiple_exact_match,10pct_e2,19,0,2048,4,2913
multiple_exact_match,10pct_e2,19,1,2048,2,1108
multiple_exact_match,10pct_e2,19,6,2048,18,11144
multiple_exact_match,10pct_e2,20,0,2048,5,3678
multiple_exact_match,10pct_e2,20,18,2048,5,3179
multiple_exact_match,10pct_e2,21,0,2048,8,5326
multiple_exact_match,10pct_e2,21,38,2048,4,2507
multiple_exact_match,10pct_e2,22,0,2048,4,2227
multiple_exact_match,10pct_e2,22,4,2048,4,1972
multiple_exact_match,10pct_e2,23,0,2048,2,1350
multiple_exact_match,10pct_e2,23,1,2048,7,4080
multiple_exact_match,10pct_e2,23,3,2048,17,9898
multiple_exact_match,10pct_e2,24,0,2048,5,3311
multiple_exact_match,10pct_e2,24,2,2048,9,4914
multiple_exact_match,10pct_e2,25,0,2048,4,2505
multiple_exact_match,10pct_e2,25,1,2048,2,1630
multiple_exact_match,10pct_e2,25,21,2048,2,1449
multiple_exact_match,10pct_e2,26,0,2048,12,7608
multiple_exact_match,10pct_e2,26,1,2048,16,10298
multiple_exact_match,10pct_e2,26,19,2048,2,1474
multiple_exact_match,10pct_e2,27,0,2048,2,1216
multiple_exact_match,10pct_e2,27,5,2048,13,8501
multiple_exact_match,10pct_e2,27,43,2048,1,809
multiple_exact_match,10pct_e2,28,0,2048,9,4533
multiple_exact_match,10pct_e2,28,1,2048,29,16065
multiple_exact_match,10pct_e2,28,3,2048,22,11329
multiple_exact_match,10pct_e2,29,0,2048,4,3115
multiple_exact_match,10pct_e2,29,1,2048,10,6149
multiple_exact_match,10pct_e2,29,2,2048,2,1108
multiple_exact_match,10pct_e2,30,0,2048,19,12403
multiple_exact_match,10pct_e2,30,2,2048,25,15625
multiple_exact_match,10pct_e2,31,0,2048,5,3301
multiple_exact_match,10pct_e2,31,2,2048,82,47119
