suite,scenario,qid,expansion_id,dim,n_tb1_nodes,distance_ns
range_search,10pct_e2,0,0,512,11,2303
range_search,10pct_e2,0,2,512,24,4541
range_search,10pct_e2,0,11,512,49,8955
range_search,10pct_e2,0,24,512,5,876
range_search,10pct_e2,0,34,512,8,1572
range_search,10pct_e2,1,0,512,6,1352
range_search,10pct_e2,1,1,512,5,1162
range_search,10pct_e2,1,2,512,4,934
range_search,10pct_e2,1,4,512,6,1316
range_search,10pct_e2,1,6,512,12,2457
range_search,10pct_e2,1,40,512,6,1128
range_search,10pct_e2,2,0,512,13,2747
range_search,10pct_e2,2,1,512,9,1359
range_search,10pct_e2,2,4,512,12,1990
range_search,10pct_e2,2,6,512,6,1044
range_search,10pct_e2,2,9,512,5,1126
range_search,10pct_e2,3,0,512,7,1313
range_search,10pct_e2,3,1,512,6,1108
range_search,10pct_e2,3,6,512,9,1499
range_search,10pct_e2,3,8,512,20,2836
range_search,10pct_e2,3,11,512,11,1982
range_search,10pct_e2,3,70,512,106,12899
range_search,10pct_e2,4,0,512,6,1211
range_search,10pct_e2,4,1,512,10,1643
range_search,10pct_e2,4,3,512,8,1255
range_search,10pct_e2,4,4,512,11,1932
range_search,10pct_e2,4,5,512,23,3584
range_search,10pct_e2,4,17,512,25,4208
range_search,10pct_e2,5,0,512,16,2305
range_search,10pct_e2,5,1,512,14,2131
range_search,10pct_e2,5,2,512,23,3650
range_search,10pct_e2,5,3,512,16,2130
range_search,10pct_e2,6,0,512,15,2635
range_search,10pct_e2,6,1,512,15,2601
range_search,10pct_e2,6,2,512,9,1472
range_search,10pct_e2,6,3,512,9,1618
range_search,10pct_e2,7,0,512,25,4323
range_search,10pct_e2,7,2,512,8,1257
range_search,10pct_e2,7,3,512,65,9648
range_search,10pct_e2,7,35,512,14,2322
range_search,10pct_e2,8,0,512,12,1894
range_search,10pct_e2,8,1,512,15,2553
range_search,10pct_e2,8,3,512,27,4162
range_search,10pct_e2,8,4,512,17,2833
range_search,10pct_e2,8,6,512,4,555
range_search,10pct_e2,8,17,512,9,1424
range_search,10pct_e2,9,0,512,14,2114
range_search,10pct_e2,9,1,512,9,1776
range_search,10pct_e2,9,2,512,20,3174
range_search,10pct_e2,9,7,512,14,2686
range_search,10pct_e2,9,15,512,10,1797
range_search,10pct_e2,10,0,512,12,1938
range_search,10pct_e2,10,1,512,4,743
range_search,10pct_e2,10,2,512,4,836
range_search,10pct_e2,10,5,512,11,1942
range_search,10pct_e2,10,15,512,8,1234
range_search,10pct_e2,10,58,512,4,635
range_search,10pct_e2,11,0,512,10,1758
range_search,10pct_e2,11,1,512,14,2320
range_search,10pct_e2,11,2,512,22,3437
range_search,10pct_e2,11,3,512,14,2535
range_search,10pct_e2,11,12,512,5,707
range_search,10pct_e2,11,33,512,10,1594
range_search,10pct_e2,12,0,512,8,1382
range_search,10pct_e2,12,2,512,42,5895
range_search,10pct_e2,12,6,512,15,2624
range_search,10pct_e2,12,11,512,38,6124
range_search,10pct_e2,12,60,512,8,1246
range_search,10pct_e2,13,0,512,6,1211
range_search,10pct_e2,13,1,512,12,1919
range_search,10pct_e2,13,2,512,10,1700
range_search,10pct_e2,13,3,512,15,2525
range_search,10pct_e2,13,4,512,14,1988
range_search,10pct_e2,13,5,512,10,1579
range_search,10pct_e2,13,55,512,24,3031
range_search,10pct_e2,14,0,512,10,1807
range_search,10pct_e2,14,1,512,22,3086
range_search,10pct_e2,14,2,512,20,2882
range_search,10pct_e2,14,3,512,11,4885
range_search,10pct_e2,14,7,512,17,2728
range_search,10pct_e2,14,16,512,4,777
range_search,10pct_e2,15,0,512,5,1069
range_search,10pct_e2,15,1,512,2,497
range_search,10pct_e2,15,2,512,6,1075
range_search,10pct_e2,15,3,512,5,918
range_search,10pct_e2,15,5,512,11,1714
range_search,10pct_e2,15,7,512,16,2589
range_search,10pct_e2,15,8,512,3,473
range_search,10pct_e2,16,0,512,6,1412
range_search,10pct_e2,16,1,512,4,869
range_search,10pct_e2,16,2,512,11,1656
range_search,10pct_e2,16,8,512,2,339
range_search,10pct_e2,16,10,512,5,927
range_search,10pct_e2,17,0,512,10,1932
range_search,10pct_e2,17,1,512,8,1249
range_search,10pct_e2,17,2,512,20,3503
range_search,10pct_e2,17,3,512,20,2970
range_search,10pct_e2,17,20,512,19,2959
range_search,10pct_e2,18,0,512,13,2541
range_search,10pct_e2,18,1,512,25,3821
range_search,10pct_e2,18,3,512,5,688
range_search,10pct_e2,18,7,512,16,2448
range_search,10pct_e2,18,44,512,9,1274
range_search,10pct_e2,19,0,512,10,1635
range_search,10pct_e2,19,1,512,10,1747
range_search,10pct_e2,19,2,512,31,4496
range_search,10pct_e2,19,3,512,6,1076
range_search,10pct_e2,20,0,512,8,1634
range_search,10pct_e2,20,1,512,9,1539
range_search,10pct_e2,20,2,512,14,1941
range_search,10pct_e2,20,3,512,12,2211
range_search,10pct_e2,20,4,512,17,2940
range_search,10pct_e2,21,0,512,13,2190
range_search,10pct_e2,21,1,512,10,1785
range_search,10pct_e2,21,18,512,31,4463
range_search,10pct_e2,21,25,512,12,1957
range_search,10pct_e2,21,89,512,6,830
range_search,10pct_e2,22,0,512,6,1178
range_search,10pct_e2,22,1,512,15,2471
range_search,10pct_e2,22,2,512,25,3913
range_search,10pct_e2,22,3,512,15,1875
range_search,10pct_e2,22,4,512,21,2932
range_search,10pct_e2,22,16,512,6,1217
range_search,10pct_e2,23,0,512,19,2690
range_search,10pct_e2,23,2,512,23,3063
range_search,10pct_e2,23,3,512,23,3203
range_search,10pct_e2,24,0,512,10,1725
range_search,10pct_e2,24,1,512,9,1495
range_search,10pct_e2,24,2,512,12,1868
range_search,10pct_e2,24,6,512,7,1372
range_search,10pct_e2,24,16,512,19,2489
range_search,10pct_e2,25,0,512,9,1671
range_search,10pct_e2,25,1,512,6,1140
range_search,10pct_e2,25,2,512,7,1256
range_search,10pct_e2,25,3,512,13,2070
range_search,10pct_e2,25,9,512,10,1507
range_search,10pct_e2,25,35,512,8,1099
range_search,10pct_e2,26,0,512,11,2178
range_search,10pct_e2,26,1,512,12,1819
range_search,10pct_e2,26,4,512,8,1081
range_search,10pct_e2,26,6,512,19,2664
range_search,10pct_e2,26,9,512,48,6695
range_search,10pct_e2,27,0,512,7,1661
range_search,10pct_e2,27,1,512,17,2180
range_search,10pct_e2,27,4,512,26,3880
range_search,10pct_e2,27,17,512,9,1272
range_search,10pct_e2,27,132,512,8,1112
range_search,10pct_e2,28,0,512,15,2581
range_search,10pct_e2,28,1,512,44,6645
range_search,10pct_e2,28,2,512,14,1995
range_search,10pct_e2,28,5,512,11,1961
range_search,10pct_e2,28,6,512,3,445
range_search,10pct_e2,28,18,512,7,1440
range_search,10pct_e2,29,0,512,12,1626
range_search,10pct_e2,29,1,512,14,2133
range_search,10pct_e2,29,3,512,15,2380
range_search,10pct_e2,29,4,512,20,3291
range_search,10pct_e2,29,5,512,9,1343
range_search,10pct_e2,29,6,512,3,497
range_search,10pct_e2,29,15,512,22,3093
range_search,10pct_e2,30,0,512,4,775
range_search,10pct_e2,30,1,512,4,735
range_search,10pct_e2,30,2,512,13,2043
range_search,10pct_e2,30,3,512,17,2500
range_search,10pct_e2,30,4,512,21,3092
range_search,10pct_e2,30,5,512,9,1631
range_search,10pct_e2,30,6,512,6,1125
range_search,10pct_e2,31,0,512,6,1110
range_search,10pct_e2,31,1,512,12,1960
range_search,10pct_e2,31,2,512,8,1214
range_search,10pct_e2,31,3,512,16,2498
range_search,10pct_e2,31,9,512,11,1511
range_search,10pct_e2,31,19,512,5,806
range_search,10pct_e2,32,0,512,9,1739
range_search,10pct_e2,32,1,512,16,2765
range_search,10pct_e2,32,2,512,16,2622
range_search,10pct_e2,32,12,512,12,2000
range_search,10pct_e2,32,17,512,14,2185
range_search,10pct_e2,33,0,512,7,1398
range_search,10pct_e2,33,1,512,10,2000
range_search,10pct_e2,33,2,512,19,3440
range_search,10pct_e2,33,8,512,12,2262
range_search,10pct_e2,33,10,512,18,3311
range_search,10pct_e2,33,58,512,8,1602
range_search,10pct_e2,34,0,512,10,1683
range_search,10pct_e2,34,1,512,4,768
range_search,10pct_e2,34,2,512,8,1465
range_search,10pct_e2,34,3,512,24,4151
range_search,10pct_e2,34,4,512,8,1592
range_search,10pct_e2,34,6,512,33,5279
range_search,10pct_e2,35,0,512,11,1806
range_search,10pct_e2,35,1,512,16,2987
range_search,10pct_e2,35,3,512,14,2596
range_search,10pct_e2,35,5,512,19,2631
range_search,10pct_e2,35,6,512,28,4066
range_search,10pct_e2,36,0,512,8,1371
range_search,10pct_e2,36,1,512,5,895
range_search,10pct_e2,36,2,512,12,2057
range_search,10pct_e2,36,3,512,91,11745
range_search,10pct_e2,36,4,512,28,3871
range_search,10pct_e2,37,0,512,21,3532
range_search,10pct_e2,37,1,512,23,4125
range_search,10pct_e2,37,2,512,5,1048
range_search,10pct_e2,37,4,512,9,1547
range_search,10pct_e2,37,5,512,10,1824
range_search,10pct_e2,37,14,512,6,1003
range_search,10pct_e2,37,31,512,16,2644
range_search,10pct_e2,38,0,512,19,2960
range_search,10pct_e2,38,1,512,15,2412
range_search,10pct_e2,38,3,512,11,1587
range_search,10pct_e2,38,4,512,36,5314
range_search,10pct_e2,38,5,512,9,1526
range_search,10pct_e2,38,101,512,9,1294
range_search,10pct_e2,39,0,512,11,1734
range_search,10pct_e2,39,1,512,14,2334
range_search,10pct_e2,39,3,512,15,2404
range_search,10pct_e2,39,18,512,13,2326
range_search,10pct_e2,40,0,512,13,1876
range_search,10pct_e2,40,1,512,9,1360
range_search,10pct_e2,40,2,512,2,348
range_search,10pct_e2,40,3,512,8,1216
range_search,10pct_e2,40,10,512,15,1929
range_search,10pct_e2,41,0,512,8,1701
range_search,10pct_e2,41,1,512,7,1198
range_search,10pct_e2,41,3,512,7,1146
range_search,10pct_e2,41,5,512,13,2066
range_search,10pct_e2,41,185,512,8,3663
range_search,10pct_e2,42,0,512,7,1604
range_search,10pct_e2,42,1,512,40,6500
range_search,10pct_e2,42,2,512,8,1576
range_search,10pct_e2,42,3,512,9,1378
range_search,10pct_e2,42,7,512,9,1243
range_search,10pct_e2,42,9,512,4,529
range_search,10pct_e2,43,0,512,11,1397
range_search,10pct_e2,43,1,512,19,2717
range_search,10pct_e2,43,2,512,19,2700
range_search,10pct_e2,43,8,512,35,5536
range_search,10pct_e2,44,0,512,7,1648
range_search,10pct_e2,44,1,512,12,2072
range_search,10pct_e2,44,2,512,27,4268
range_search,10pct_e2,44,3,512,34,5469
range_search,10pct_e2,44,4,512,4,820
range_search,10pct_e2,44,7,512,7,1535
range_search,10pct_e2,44,36,512,2,424
range_search,10pct_e2,45,0,512,8,1382
range_search,10pct_e2,45,1,512,4,734
range_search,10pct_e2,45,2,512,3,476
range_search,10pct_e2,45,3,512,18,2844
range_search,10pct_e2,45,4,512,18,2238
range_search,10pct_e2,46,0,512,19,2892
range_search,10pct_e2,46,1,512,24,3120
range_search,10pct_e2,46,2,512,27,4215
range_search,10pct_e2,47,0,512,11,1640
range_search,10pct_e2,47,1,512,8,1382
range_search,10pct_e2,47,2,512,9,1875
range_search,10pct_e2,47,3,512,6,1096
range_search,10pct_e2,47,9,512,2,571
range_search,10pct_e2,47,13,512,3,529
range_search,10pct_e2,48,0,512,10,1843
range_search,10pct_e2,48,2,512,11,1935
range_search,10pct_e2,48,3,512,14,2592
range_search,10pct_e2,48,10,512,7,1223
range_search,10pct_e2,48,21,512,6,973
range_search,10pct_e2,48,193,512,21,3702
range_search,10pct_e2,49,0,512,11,1967
range_search,10pct_e2,49,1,512,5,882
range_search,10pct_e2,49,2,512,9,1405
range_search,10pct_e2,49,6,512,21,3325
range_search,10pct_e2,49,10,512,4,573
range_search,10pct_e2,50,0,512,6,1375
range_search,10pct_e2,50,1,512,5,1171
range_search,10pct_e2,50,2,512,8,1588
range_search,10pct_e2,50,4,512,42,6734
range_search,10pct_e2,50,5,512,4,858
range_search,10pct_e2,50,6,512,11,1889
range_search,10pct_e2,50,7,512,17,2845
range_search,10pct_e2,50,9,512,27,3511
range_search,10pct_e2,50,12,512,8,1467
range_search,10pct_e2,51,0,512,7,1417
range_search,10pct_e2,51,1,512,4,926
range_search,10pct_e2,51,2,512,14,1980
range_search,10pct_e2,51,3,512,5,1027
range_search,10pct_e2,51,42,512,6,1034
range_search,10pct_e2,52,0,512,20,2858
range_search,10pct_e2,52,1,512,7,1070
range_search,10pct_e2,52,22,512,15,2023
range_search,10pct_e2,53,0,512,19,2490
range_search,10pct_e2,53,2,512,39,5488
range_search,10pct_e2,53,4,512,20,2714
range_search,10pct_e2,53,5,512,9,1450
range_search,10pct_e2,53,6,512,30,4661
range_search,10pct_e2,53,9,512,10,1773
range_search,10pct_e2,54,0,512,8,1770
range_search,10pct_e2,54,1,512,9,1838
range_search,10pct_e2,54,2,512,4,919
range_search,10pct_e2,54,4,512,30,4440
range_search,10pct_e2,54,5,512,10,1877
range_search,10pct_e2,54,6,512,8,1373
range_search,10pct_e2,54,24,512,9,1378
range_search,10pct_e2,55,0,512,9,1645
range_search,10pct_e2,55,1,512,7,1013
range_search,10pct_e2,55,3,512,7,1068
range_search,10pct_e2,55,12,512,8,1293
range_search,10pct_e2,56,0,512,7,1472
range_search,10pct_e2,56,1,512,12,1877
range_search,10pct_e2,56,2,512,34,5352
range_search,10pct_e2,56,3,512,15,2515
range_search,10pct_e2,57,0,512,16,2877
range_search,10pct_e2,57,2,512,25,3310
range_search,10pct_e2,57,3,512,22,3254
range_search,10pct_e2,57,5,512,8,1323
range_search,10pct_e2,57,9,512,6,957
range_search,10pct_e2,57,28,512,12,1832
range_search,10pct_e2,58,0,512,4,827
range_search,10pct_e2,58,1,512,4,768
range_search,10pct_e2,58,3,512,4,556
range_search,10pct_e2,58,4,512,7,1179
range_search,10pct_e2,58,10,512,4,611
range_search,10pct_e2,58,15,512,8,1321
range_search,10pct_e2,58,17,512,4,698
range_search,10pct_e2,58,45,512,7,1147
range_search,10pct_e2,59,0,512,8,1615
range_search,10pct_e2,59,1,512,33,4799
range_search,10pct_e2,59,2,512,34,5425
range_search,10pct_e2,59,3,512,13,1999
range_search,10pct_e2,59,5,512,10,1691
range_search,10pct_e2,60,0,512,9,1959
range_search,10pct_e2,60,1,512,3,701
range_search,10pct_e2,60,3,512,6,1171
range_search,10pct_e2,60,7,512,12,1995
range_search,10pct_e2,60,15,512,10,1847
range_search,10pct_e2,60,166,512,6,1256
range_search,10pct_e2,61,0,512,5,1058
range_search,10pct_e2,61,1,512,4,635
range_search,10pct_e2,61,2,512,12,2144
range_search,10pct_e2,61,3,512,9,1500
range_search,10pct_e2,61,5,512,2,260
range_search,10pct_e2,61,6,512,2,650
range_search,10pct_e2,61,7,512,5,1027
range_search,10pct_e2,61,15,512,3,503
range_search,10pct_e2,61,21,512,3,516
range_search,10pct_e2,62,0,512,12,1970
range_search,10pct_e2,62,1,512,4,690
range_search,10pct_e2,62,3,512,1,164
range_search,10pct_e2,62,4,512,7,1033
range_search,10pct_e2,62,6,512,13,1811
range_search,10pct_e2,62,63,512,5,888
range_search,10pct_e2,63,0,512,12,1946
range_search,10pct_e2,63,1,512,19,2747
range_search,10pct_e2,63,2,512,17,2471
range_search,10pct_e2,63,3,512,13,2014
range_search,10pct_e2,63,5,512,7,1049
range_search,10pct_e2,63,14,512,16,2386
range_search,10pct_e2,64,0,512,8,1545
range_search,10pct_e2,64,1,512,7,1482
range_search,10pct_e2,64,2,512,8,1358
range_search,10pct_e2,64,3,512,10,1807
range_search,10pct_e2,64,9,512,2,474
range_search,10pct_e2,64,17,512,11,1645
range_search,10pct_e2,65,0,512,12,1769
range_search,10pct_e2,65,1,512,14,1948
range_search,10pct_e2,65,2,512,11,1513
range_search,10pct_e2,65,4,512,4,482
range_search,10pct_e2,65,13,512,4,470
range_search,10pct_e2,65,19,512,3,382
range_search,10pct_e2,65,21,512,2,299
range_search,10pct_e2,65,88,512,10,1507
range_search,10pct_e2,66,0,512,7,1438
range_search,10pct_e2,66,1,512,11,1756
range_search,10pct_e2,66,2,512,7,1274
range_search,10pct_e2,66,3,512,15,2351
range_search,10pct_e2,66,10,512,13,1886
range_search,10pct_e2,66,23,512,5,973
range_search,10pct_e2,67,0,512,8,1783
range_search,10pct_e2,67,1,512,8,1468
range_search,10pct_e2,67,3,512,26,4220
range_search,10pct_e2,67,4,512,8,1247
range_search,10pct_e2,67,6,512,8,1360
range_search,10pct_e2,67,9,512,4,825
range_search,10pct_e2,67,10,512,2,550
range_search,10pct_e2,67,13,512,8,1646
range_search,10pct_e2,68,0,512,6,888
range_search,10pct_e2,68,1,512,8,1536
range_search,10pct_e2,68,3,512,15,2132
range_search,10pct_e2,68,4,512,14,2418
range_search,10pct_e2,68,5,512,2,523
range_search,10pct_e2,68,142,512,9,1116
range_search,10pct_e2,69,0,512,5,986
range_search,10pct_e2,69,1,512,6,1040
range_search,10pct_e2,69,2,512,20,3423
range_search,10pct_e2,69,3,512,6,1099
range_search,10pct_e2,69,4,512,7,1267
range_search,10pct_e2,69,14,512,3,404
range_search,10pct_e2,70,0,512,19,3065
range_search,10pct_e2,70,1,512,11,1851
range_search,10pct_e2,70,2,512,9,1666
range_search,10pct_e2,70,4,512,4,697
range_search,10pct_e2,70,5,512,32,5182
range_search,10pct_e2,71,0,512,31,5240
range_search,10pct_e2,71,1,512,7,1413
range_search,10pct_e2,71,2,512,12,2114
range_search,10pct_e2,71,3,512,29,5160
range_search,10pct_e2,71,15,512,19,3117
range_search,10pct_e2,72,0,512,8,1555
range_search,10pct_e2,72,1,512,33,4881
range_search,10pct_e2,72,2,512,12,1876
range_search,10pct_e2,72,3,512,33,5032
range_search,10pct_e2,72,4,512,7,1355
range_search,10pct_e2,73,0,512,8,1523
range_search,10pct_e2,73,1,512,18,2890
range_search,10pct_e2,74,0,512,19,2732
range_search,10pct_e2,74,1,512,11,1835
range_search,10pct_e2,74,3,512,16,2502
range_search,10pct_e2,74,5,512,8,1495
range_search,10pct_e2,74,8,512,8,1142
range_search,10pct_e2,75,0,512,13,2285
range_search,10pct_e2,75,1,512,11,1899
range_search,10pct_e2,75,2,512,42,5627
range_search,10pct_e2,75,3,512,5,716
range_search,10pct_e2,75,7,512,2,463
range_search,10pct_e2,75,29,512,11,2025
range_search,10pct_e2,76,0,512,8,1584
range_search,10pct_e2,76,1,512,4,702
range_search,10pct_e2,76,2,512,33,4749
range_search,10pct_e2,76,3,512,25,3847
range_search,10pct_e2,76,4,512,16,2262
range_search,10pct_e2,76,22,512,3,418
range_search,10pct_e2,77,0,512,12,2097
range_search,10pct_e2,77,1,512,28,4300
range_search,10pct_e2,77,2,512,23,3405
range_search,10pct_e2,77,3,512,11,2120
range_search,10pct_e2,77,14,512,10,2045
range_search,10pct_e2,78,0,512,21,3477
range_search,10pct_e2,78,1,512,24,4235
range_search,10pct_e2,78,2,512,17,2572
range_search,10pct_e2,78,88,512,7,995
range_search,10pct_e2,79,0,512,14,2466
range_search,10pct_e2,79,1,512,23,3658
range_search,10pct_e2,79,2,512,7,910
range_search,10pct_e2,79,5,512,14,2259
range_search,10pct_e2,79,6,512,17,2562
range_search,10pct_e2,80,0,512,12,2291
range_search,10pct_e2,80,1,512,26,4591
range_search,10pct_e2,80,2,512,9,1601
range_search,10pct_e2,80,3,512,13,2456
range_search,10pct_e2,80,6,512,28,4623
range_search,10pct_e2,80,54,512,2,259
range_search,10pct_e2,81,0,512,8,1176
range_search,10pct_e2,81,1,512,6,1085
range_search,10pct_e2,81,2,512,43,5560
range_search,10pct_e2,81,3,512,14,1919
range_search,10pct_e2,81,17,512,11,1642
range_search,10pct_e2,82,0,512,14,2519
range_search,10pct_e2,82,1,512,31,4816
range_search,10pct_e2,82,2,512,30,4704
range_search,10pct_e2,82,4,512,9,1629
range_search,10pct_e2,83,0,512,46,7664
range_search,10pct_e2,83,1,512,40,4663
range_search,10pct_e2,83,2,512,16,2569
range_search,10pct_e2,83,4,512,11,1884
range_search,10pct_e2,83,63,512,10,1642
range_search,10pct_e2,84,0,512,11,1877
range_search,10pct_e2,84,1,512,16,2767
range_search,10pct_e2,84,2,512,19,3009
range_search,10pct_e2,84,4,512,19,2763
range_search,10pct_e2,84,13,512,12,1536
range_search,10pct_e2,85,0,512,17,2514
range_search,10pct_e2,85,1,512,6,1147
range_search,10pct_e2,85,2,512,10,1663
range_search,10pct_e2,85,3,512,8,1302
range_search,10pct_e2,85,4,512,17,2960
range_search,10pct_e2,85,21,512,23,3390
range_search,10pct_e2,86,0,512,10,2113
range_search,10pct_e2,86,1,512,15,2040
range_search,10pct_e2,86,3,512,6,913
range_search,10pct_e2,86,8,512,40,5264
range_search,10pct_e2,86,19,512,3,442
range_search,10pct_e2,87,0,512,8,1420
range_search,10pct_e2,87,1,512,24,3920
range_search,10pct_e2,87,2,512,25,3033
range_search,10pct_e2,87,8,512,3,768
range_search,10pct_e2,88,0,512,19,2693
range_search,10pct_e2,88,1,512,24,3681
range_search,10pct_e2,88,4,512,29,4833
range_search,10pct_e2,88,5,512,15,2261
range_search,10pct_e2,88,7,512,10,1639
range_search,10pct_e2,88,9,512,33,5278
range_search,10pct_e2,88,139,512,8,1019
range_search,10pct_e2,89,0,512,9,1617
range_search,10pct_e2,89,1,512,5,892
range_search,10pct_e2,89,3,512,8,1178
range_search,10pct_e2,89,4,512,7,1085
range_search,10pct_e2,89,11,512,8,1152
range_search,10pct_e2,89,19,512,4,600
range_search,10pct_e2,90,0,512,4,880
range_search,10pct_e2,90,1,512,1,225
range_search,10pct_e2,90,2,512,4,840
range_search,10pct_e2,90,3,512,4,730
range_search,10pct_e2,90,18,512,9,1446
range_search,10pct_e2,90,83,512,2,269
range_search,10pct_e2,91,0,512,6,1423
range_search,10pct_e2,91,1,512,5,1094
range_search,10pct_e2,91,2,512,12,1931
range_search,10pct_e2,91,10,512,6,885
range_search,10pct_e2,92,0,512,6,1233
range_search,10pct_e2,92,1,512,23,3826
range_search,10pct_e2,92,2,512,21,3552
range_search,10pct_e2,92,108,512,16,2424
range_search,10pct_e2,93,0,512,12,1960
range_search,10pct_e2,93,1,512,22,3443
range_search,10pct_e2,93,2,512,8,1244
range_search,10pct_e2,93,5,512,7,1283
range_search,10pct_e2,94,0,512,19,2624
range_search,10pct_e2,94,1,512,12,1905
range_search,10pct_e2,94,2,512,26,4373
