dim,engine_count,chunk_size_bytes,n_nodes,iaa_submit_ns_median,iaa_wait_ns_median,iaa_check_ns_median,lz4_decompress_ns_median
128,8,4096,1,778,2465,2391,1620
128,8,4096,2,1395,2279,2229,3025
128,8,4096,4,2660,2336,2288,4515
128,8,4096,8,5156,2253,2039,9705
128,8,8192,1,780,3474,3401,1843
128,8,8192,2,1421,3395,3397,5319
128,8,8192,4,2660,3273,3221,8107
128,8,8192,8,5176,3428,3081,16684
512,8,4096,1,771,3752,3632,7207
512,8,4096,2,1425,3652,3624,13650
512,8,4096,4,2689,3705,3571,20558
512,8,4096,8,5267,3636,3453,44653
512,8,8192,1,811,5814,5628,14883
512,8,8192,2,1440,5619,5549,30836
512,8,8192,4,2665,5700,5565,59014
512,8,8192,8,5346,5695,5594,106640
2048,8,4096,1,800,5537,5490,661
2048,8,4096,2,1499,5449,5381,1014
2048,8,4096,4,2674,5414,5369,2139
2048,8,4096,8,5150,5476,5308,3112
2048,8,8192,1,803,9534,9444,995
2048,8,8192,2,1494,9464,9362,1673
2048,8,8192,4,2738,9397,9349,3835
2048,8,8192,8,5332,9503,9407,6406
