suite,scenario,qid,expansion_id,dim,n_tb1_nodes,distance_ns
exact_match,1pct_e8_smoke,0,0,128,3,312
exact_match,1pct_e8_smoke,0,1,128,6,267
exact_match,1pct_e8_smoke,0,2,128,3,233
exact_match,1pct_e8_smoke,0,4,128,5,267
exact_match,1pct_e8_smoke,0,5,128,2,192
exact_match,1pct_e8_smoke,0,7,128,2,111
exact_match,1pct_e8_smoke,0,11,128,2,149
exact_match,1pct_e8_smoke,0,12,128,2,177
exact_match,1pct_e8_smoke,0,13,128,6,294
exact_match,1pct_e8_smoke,0,16,128,5,274
exact_match,1pct_e8_smoke,0,17,128,3,156
exact_match,1pct_e8_smoke,0,18,128,19,900
exact_match,1pct_e8_smoke,0,19,128,6,313
exact_match,1pct_e8_smoke,0,21,128,9,315
exact_match,1pct_e8_smoke,0,23,128,2,208
exact_match,1pct_e8_smoke,0,24,128,10,561
exact_match,1pct_e8_smoke,0,26,128,6,221
exact_match,1pct_e8_smoke,0,32,128,5,274
exact_match,1pct_e8_smoke,0,33,128,4,306
exact_match,1pct_e8_smoke,0,39,128,3,161
exact_match,1pct_e8_smoke,0,46,128,4,205
exact_match,1pct_e8_smoke,0,50,128,4,159
